comname,ticker,esg_0_100
1&1 AG,DRI,67.6
11 88 0 Solutions AG,TGT,10.7
3M COMPANY,MMM,83.0
A. O. SMITH CORPORATION,AOS,51.2
ABBOTT LABORATORIES,ABT,82.8
ABBVIE INC.,ABBV,71.6
ACCENTURE PUBLIC LIMITED COMPANY,ACN,83.0
ADMIRAL GROUP PLC,ADM,53.0
ADOBE INC.,ADBE,67.1
"ADVANCED MICRO DEVICES, INC.",AMD,71.8
AEP PLANTATIONS PLC,AEP,18.3
AEROPORTS DE PARIS SA,ADP,59.1
AFLAC INCORPORATED,AFL,46.1
"AGILENT TECHNOLOGIES, INC.",A,79.9
"AIR PRODUCTS AND CHEMICALS, INC.",APD,73.6
"AIRBNB, INC.",ABNB,34.3
"AKAMAI TECHNOLOGIES, INC.",AKAM,70.1
ALBEMARLE CORPORATION,ALB,65.5
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE,72.9
ALLEGION PUBLIC LIMITED COMPANY,ALLE,46.2
ALLIANCE PHARMA LIMITED,APH,41.1
"ALPHA METALLURGICAL RESOURCES, INC.",CTRA,29.5
ALPHABET INC.,GOOGL,81.7
"AMAZON.COM, INC.",AMZN,72.3
AMCOR PLC,AMCR,60.9
AME ELITE CONSORTIUM BERHAD,AME,59.3
AMEREN CORPORATION,AEE,50.4
AMERICAN AIRLINES GROUP INC.,AAL,67.5
"AMERICAN ELECTRIC POWER COMPANY, INC.",AEP,56.5
AMERICAN EXPRESS COMPANY,AXP,65.7
"AMERICAN INTERNATIONAL GROUP, INC.",AIG,71.3
AMERICAN TOWER CORPORATION,AMT,78.6
"AMERICAN WATER WORKS COMPANY, INC.",AWK,78.2
"AMERIPRISE FINANCIAL, INC.",AMP,72.8
"AMETEK, INC.",AME,58.9
AMGEN INC.,AMGN,75.8
AMP LIMITED,AMP,87.6
AMPHENOL CORPORATION,APH,77.9
AMPLIFON S.P.A.,AMP,52.1
"ANALOG DEVICES, INC.",ADI,68.9
ANGLO AMERICAN PLC,AAL,73.8
AON PUBLIC LIMITED COMPANY,AON,53.8
APA CORPORATION,APA,60.9
APA Group,APA,66.7
APPLE INC.,AAPL,70.7
"APPLIED MATERIALS, INC.",AMAT,79.6
APPRECIATE LIMITED,APP,29.0
